iter	RMSE
0	29.46973846
1	28.13173247
2	26.80674207
3	25.60292521
4	24.49298101
5	23.47604198
6	22.51631771
7	21.59100444
8	20.68072301
9	19.86161172
10	19.10962493
11	18.37643236
12	17.69398718
13	17.02937538
14	16.43554985
15	15.88180259
16	15.37582868
17	14.87403987
18	14.40029801
19	13.95385088
20	13.55671815
21	13.18290613
22	12.8358511
23	12.47905199
24	12.16111794
25	11.85246601
26	11.56479304
27	11.28849273
28	11.03666631
29	10.78506591
30	10.55610041
31	10.34315193
32	10.13373621
33	9.950349787
34	9.782871151
35	9.59521403
36	9.434522657
37	9.277464709
38	9.134314928
39	8.980985044
40	8.845237589
41	8.795017248
42	8.654000584
43	8.61006661
44	8.572470572
45	8.536741988
46	8.424885925
47	8.333436453
48	8.240147586
49	8.208223258
50	8.123901018
51	8.089261229
52	8.050221452
53	8.010194395
54	7.887621402
55	7.80390505
56	7.767768095
57	7.733603594
58	7.709311491
59	7.619088595
60	7.540838488
61	7.510471619
62	7.454881336
63	7.431237765
64	7.410886266
65	7.38787947
66	7.364912504
67	7.339206441
68	7.31797655
69	7.295129354
70	7.19408174
71	7.128548879
72	7.109853662
73	7.094168275
74	7.074331569
75	6.9984899
76	6.981614139
77	6.892066468
78	6.876305414
79	6.798818336
80	6.734877364
81	6.672148833
82	6.659745501
83	6.618428665
84	6.598592913
85	6.580703548
86	6.56132331
87	6.545053397
88	6.494786415
89	6.479866585
90	6.45935784
91	6.398258352
92	6.38906199
93	6.376119318
94	6.339344333
95	6.329731524
96	6.286438548
97	6.278440667
98	6.270746258
99	6.234770686
100	6.224808855
101	6.174792742
102	6.131294887
103	6.092726466
104	6.045395091
105	6.0140545
106	5.98436445
107	5.978676209
108	5.971042989
109	5.928746253
110	5.91195354
111	5.875896506
112	5.870223046
113	5.860540375
114	5.855955238
115	5.839639182
116	5.812761615
117	5.782243798
118	5.752515174
119	5.724682573
120	5.686140754
121	5.651347493
122	5.626124876
123	5.619552531
124	5.605219162
125	5.601360826
126	5.596762827
127	5.57627791
128	5.56860756
129	5.540069772
130	5.514042191
131	5.497491696
132	5.49090042
133	5.485785142
134	5.478761301
135	5.471791993
136	5.468906493
137	5.452725323
138	5.425887342
139	5.423700005
140	5.413954184
141	5.408637927
142	5.381361454
143	5.379724553
144	5.375356635
145	5.357582112
146	5.335924206
147	5.313763978
148	5.293131143
149	5.291497778
150	5.288582698
151	5.257550772
152	5.256046103
153	5.237650647
154	5.230735609
155	5.216238546
156	5.20154411
157	5.194909413
158	5.179838792
159	5.173774554
160	5.169896362
161	5.148996383
162	5.145313594
163	5.128246688
164	5.124050647
165	5.108698335
166	5.098017078
167	5.09420645
168	5.06338277
169	5.055301896
170	5.052807028
171	5.03704181
172	5.034931116
173	5.014500829
174	5.000335789
175	4.981291899
176	4.978611338
177	4.957840753
178	4.950575503
179	4.933610058
180	4.920108419
181	4.90447649
182	4.892065831
183	4.881574743
184	4.868788974
185	4.8663001
186	4.85453268
187	4.844932782
188	4.835950032
189	4.822165349
190	4.809145831
191	4.800682717
192	4.795272009
193	4.776109331
194	4.773974872
195	4.764528142
196	4.762534844
197	4.755014884
198	4.747973543
199	4.736310407
200	4.721184804
201	4.710807366
202	4.709019775
203	4.700620919
204	4.69064668
205	4.674460536
206	4.663541625
207	4.652469869
208	4.650813063
209	4.636303667
210	4.634743932
211	4.626852751
212	4.6253578
213	4.613956722
214	4.597953757
215	4.590725323
216	4.58013001
217	4.573478915
218	4.569867127
219	4.557802664
220	4.550199236
221	4.54207374
222	4.5328771
223	4.529197783
224	4.524099633
225	4.519502386
226	4.514570754
227	4.503199303
228	4.496486021
229	4.486471486
230	4.481758672
231	4.478528063
232	4.468843028
233	4.467036184
234	4.460930881
235	4.459221928
236	4.450521642
237	4.449460574
238	4.448443687
239	4.445763496
240	4.433607106
241	4.425900228
242	4.419405065
243	4.415440884
244	4.408750345
245	4.400789804
246	4.39823823
247	4.397311434
248	4.393628087
249	4.39127512
250	4.382582143
251	4.381725874
252	4.372817246
253	4.365402826
254	4.364576226
255	4.362366125
256	4.356028775
257	4.348303187
258	4.340668681
259	4.335873737
260	4.333776412
261	4.330481416
262	4.323269175
263	4.320621572
264	4.313854346
265	4.30184386
266	4.294852261
267	4.288669342
268	4.285914999
269	4.281978092
270	4.270304604
271	4.263490448
272	4.261561141
273	4.254106583
274	4.252118264
275	4.245545669
276	4.239179804
277	4.23727889
278	4.225870263
279	4.218397324
280	4.215793473
281	4.20768255
282	4.205854246
283	4.203628766
284	4.197446246
285	4.195720137
286	4.184547143
287	4.174021401
288	4.168053128
289	4.166636379
290	4.158660845
291	4.147779261
292	4.141364313
293	4.130772521
294	4.125470489
295	4.120327775
296	4.116103467
297	4.105808952
298	4.104110244
299	4.099532354
300	4.093008383
301	4.086878246
302	4.078915991
303	4.072136036
304	4.06813202
305	4.058045142
306	4.056310869
307	4.050009687
308	4.044390659
309	4.043104512
310	4.038595119
311	4.028748066
312	4.027508634
